Sr.,Inv #,Customer,Inv. Date,LD(Kg/p),LD Rate,LD Total,HD(Kg/p),HD Rate,HD Total,Total
1,2891,TEHZEEB BAKERS,2016-11-02,0,4,0,1000,4,4000,4000
2,2898,TEHZEEB BAKERS,2016-11-03,0,4,0,300,4,1200,1200
3,2901,SAJID SALT,2016-11-01,0,4,0,516,4,2064,2064
4,2902,Tariq Sb Salt Wale,2016-11-01,0,4,0,40.8,4,163.4,163.4
5,2903,CITY SUPER E-11,2016-11-04,0,4,0,32,4,128,128
6,2908,Dawn Bakers,2016-11-03,341.5,4,1366.2,0,4,0,1366.2
7,2910,Save Mart (Taramri),2016-11-03,0,4,0,140,4,560,560
,,,,,,,,,Total,9481.5999755859
